subject,type,group,age,scholarship,gender,laterality,dscore_4,modo_2,mean_co_0,mean_in_0,dif_co_in_0,mean_co_1,mean_in_1,dif_co_in_1,mean_co_2,mean_in_2,dif_co_in_2
21127,excombatant,exparamilitar,34,5,M,D,0.473663884,0.482712304,-0.31165873955454226,0.8775979366819143,-1.1892566762364565,0.06966078699085947,0.3435203484167033,-0.273859561425844,1.464774649808529,1.1198940096014962,0.3448806402070325
21129,excombatant,exparamilitar,30,10,M,D,0.328756852,0.039782052,0.1360576556381593,-0.20320549197557947,0.3392631476137388,1.2298464372744253,-0.16705869818466915,1.3969051354590947,0.1450433644796436,0.48569500287621525,-0.3406516383965717
21131,excombatant,exguerrilla,18,5,F,D,-0.115430477,0.123017156,1.2634441923011388,0.7907857773136456,0.4726584149874931,0.07165152982893688,0.5481435928280992,-0.47649206299916247,-0.22692948849327335,0.16583415139164556,-0.39276363988491914
21132,excombatant,exparamilitar,42,7,F,D,0.262089133,0.27178298,1.1051644364291755,0.9544635219619547,0.1507009144672205,0.8931053481143729,0.5555377579228012,0.337567590191572,-0.7138142328873783,2.063906576355758,-2.7777208092431365
21134,excombatant,exparamilitar,29,12,M,D,-0.099489949,-0.046268277,0.6684223242433209,-0.44027162190950947,1.10869394615283,2.1236515393141095,1.4212077337108597,0.7024438056032494,1.9960337855645467,-0.39979105297974676,2.3958248385442933
21135,excombatant,exparamilitar,50,14,M,D,-0.145650832,0.125212192,-1.2749315724812977,-1.5914335374634192,0.31650196498212163,-0.5959091582239551,-2.2321369937871003,1.6362278355631454,-1.220278306339746,-0.4451607219854358,-0.7751175843543106
21137,excombatant,exguerrilla,32,11,F,D,-0.068333306,0.408179174,1.0231917875343322,0.058585165828007976,0.9646066217063244,-0.45983558741940805,0.30531461186695696,-0.7651501992863651,-0.7607450324245103,-2.4734993149375746,1.712754282513064
21139,excombatant,exparamilitar,38,9,M,D,-0.449695958,0.256151999,0.06092301003918075,-0.44100203953226536,0.5019250495714461,2.463940729585968,1.356394533536413,1.1075461960495545,2.3401336388150673,0.8073640468073712,1.532769592007696
21140,excombatant,exguerrilla,36,11,M,D,-0.309506268,-0.140847828,0.3814728304088445,0.6024094786723639,-0.22093664826351916,1.0974526372801512,1.2060999439489852,-0.10864730666883433,1.063225743083021,2.233699456057715,-1.1704737129746945
21143,excombatant,exguerrilla,25,5,F,D,-0.034378863,-0.662631735,-0.2714689958705902,-0.9271817700813219,0.6557127742107316,0.4271746435544525,-0.3460111706879166,0.7731858142423693,0.31877408441352845,-0.05055630969731515,0.3693303941108438
21144,excombatant,exguerrilla,43,5,M,D,0.120171062,0.420013115,-0.8033709079144525,0.011073406991576296,-0.8144443149060289,-1.150919803063639,-0.28283019116011315,-0.8680896119035257,-0.3281114137709403,0.07655571520254459,-0.40466712897348495
21147,excombatant,exguerrilla,26,12,M,D,-0.076455558,0.409508292,1.504851031889898,1.0454831917946086,0.45936784009528936,0.4287428192680007,1.342556091457641,-0.9138132721896404,0.8229663279119597,2.131401395009227,-1.3084350670972673
21152,excombatant,exparamilitar,19,9,M,D,0.752042801,2.123772475,0.5020029863850882,1.5979693010831764,-1.0959663146980883,0.40407570300370427,0.8788651668092319,-0.47478946380552783,-0.23928927681811338,2.248925039322886,-2.4882143161409993
23001,excombatant,ex-both-sides,53,5,M,D,-0.27451247,#N/D,-0.41191404594238057,-0.4444619077586848,0.032547861816304285,0.7739733867921672,0.483309708501176,0.2906636782909914,-0.871452821397169,-0.7790919247278812,-0.09236089666928733
23002,excombatant,exparamilitar,48,6,M,D,-0.322639193,#N/D,-0.24042534561942192,0.14018388626769426,-0.38060923188711626,-0.30363184609616595,-1.6487133198281227,1.3450814737319579,-0.8306523795647158,-0.950439012562917,0.11978663299820148
23003,excombatant,ex-both-sides,44,8,M,D,-0.429032731,#N/D,0.8935629630624944,0.9318239765406979,-0.03826101347820351,0.7218396457748395,0.688061516170995,0.03377812960384463,0.7663446321794318,0.46287445340766464,0.30347017877176735
