subject,type,group,age,scholarship,gender,laterality,dscore_4,modo_2,mean_co_0,mean_in_0,dif_co_in_0,mean_co_1,mean_in_1,dif_co_in_1,mean_co_2,mean_in_2,dif_co_in_2
21112,excombatant,exparamilitar,34,6,M,D,0.218814731,0.843594318,0.9634886865374889,1.1154820151633102,-0.1519933286258216,-0.2464056788488286,0.19594054413055567,-0.4423462229793843,-0.38039235282131273,0.5068206163466901,-0.8872129691680027
21113,excombatant,exguerrilla,60,3,M,D,-0.566805212,-0.596115679,0.22481272210626388,1.0842331835952048,-0.8594204614889411,0.09506097952275751,0.0627286559757076,0.032332323547049915,0.8172600251642965,0.3466088969949291,0.47065112816936755
21114,excombatant,exguerrilla,35,7,F,I,-0.087000278,0.269879498,-1.1047399972151546,-0.7068661934142275,-0.39787380380092724,-0.8379101439660839,-2.054244653079214,1.21633450911313,2.302008324959974,1.8712877773745737,0.4307205475853993
21115,excombatant,exguerrilla,34,8,F,D,-0.099457807,-0.358815576,-0.04333792907837819,-1.4046705174271876,1.361332588348809,-0.08749513160038991,-0.9052441822123748,0.8177490506119847,-0.26008853068496685,-0.22028353256001926,-0.039804998124947616
21116,excombatant,exguerrilla,40,12,M,D,-0.095324964,0.049913505,-0.6683300789607423,-0.08424115499131797,-0.5840889239694246,2.0672987880769846,2.00428783309831,0.06301095497867407,0.34302571992820285,0.46182771792362237,-0.11880199799541945
21118,excombatant,exguerrilla,30,12,M,D,-0.379185195,-0.286565484,0.3258916123360481,0.879043704297692,-0.5531520919616443,0.6612308302272767,1.206158371230024,-0.5449275410027472,0.7218436244981027,1.6219069134528175,-0.9000632889547149
21121,excombatant,exguerrilla,30,11,M,D,0.011232219,0.083492261,-1.6814028240550558,-0.7466733867710367,-0.9347294372840188,-2.8390865998772337,-2.7487567571163276,-0.09032984276090689,-3.8479580296791682,-1.1741606607964226,-2.673797368882745
21122,excombatant,exguerrilla,33,11,M,D,-0.247171969,0.087478157,-0.955773911193431,-1.7018495930854747,0.746075681892044,-0.7608907000760734,-0.5017060871606319,-0.2591846129154414,-1.5936143400952616,-0.44821175450773526,-1.145402585587526
21123,excombatant,exparamilitar,39,15,M,D,-0.705655838,-0.288088298,0.14109803557337186,-0.4004487563353024,0.5415467919086742,0.0880466277852872,-0.14533908486033095,0.2333857126456182,0.13768150300277107,0.8877225372218038,-0.7500410342190328
21125,excombatant,exguerrilla,26,7,F,D,0.017283231,0.190070944,-0.04070500374658821,0.8673922383513136,-0.9080972420979021,0.750808898273562,2.451928400552133,-1.701119502278571,1.366295806121454,-0.37769572676418073,1.743991532885635
21127,excombatant,exparamilitar,34,5,M,D,0.473663884,0.482712304,-0.21975672101817487,1.2936438259403815,-1.5134005469585565,1.4970170300394547,1.4941531934259848,0.0028638366134698845,-0.09489286127655906,-0.016771738751979137,-0.07812112252457991
21129,excombatant,exparamilitar,30,10,M,D,0.328756852,0.039782052,0.26863372678258685,-0.34122653345784587,0.6098602602404326,0.06668642341392389,0.39128849302728297,-0.32460206961335913,-1.1826034794944722,-0.5750621261434279,-0.6075413533510445
